Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,C128,C135_6,C135_Other,C144,C144_OTHER,C149A,C149B,C149_OTHER,C129,C130,C131,C132,C133,C134,C135_1,C135_2,C135_3,C135_4,C135_5,C136,C137_1,C137_2,C137_3,C137_4,C137_5,C137_6,C138,C139,C140,C141,C142,C143,C145,C146,C147,C148,C150,C151
272,14,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,8,Yes,3,0102,Paid,90000,Yes,Yes,12,,Reseller
272,15,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Electric lamp,,,Duration of service too short,No other problem,,Solar home system,Yes,International brands,Yes,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,5,No,2,01,Paid,93000,Yes,No,10,,Reseller
272,16,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Electric lamp,,,Duration of service too short,Quality of light,,Solar lantern,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,1,01,Paid,15000,No,No,6,,Other technician
272,18,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Electric lamp,,,Duration of service too short,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,02,Paid,22000,No,No,16,,Reseller
273,1,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,No,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,2,01,For free,,,Yes,3,,Reseller
273,2,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,7,No,3,02,For free,,,Yes,3,,Reseller
273,5,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,7,No,3,01,For free,,,Yes,3,,Reseller
273,6,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,7,No,2,01,For free,,,Yes,3,,Reseller
273,7,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Local private organizations (NGO),,Duration of service too short,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,10,No,1,02,For free,,,No,4,,Owner
273,8,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,7,No,3,02,For free,,,Yes,3,,Reseller
273,9,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Relative/Friend,,Duration of service too short,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,1,0102,For free,,,No,3,,Reseller
273,12,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Local private organizations (NGO),,Duration of service too short,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,8,No,1,01,For free,,,Yes,Don't know,,Owner
273,13,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,2,01,For free,,,Yes,3,,Reseller
273,16,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,Battery problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,7,No,2,01,For free,,,Yes,2,No,Reseller
273,18,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,4,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,7,No,3,01,For free,,,Yes,3,,Reseller
274,1,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Duration of service too short,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,17,No,3,01,Paid,105000,Yes,Yes,12,,Reseller
274,4,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Duration of service too short,Breaks down too often,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,50,No,1,01,Paid,52200,Yes,Yes,12,Yes,Reseller
274,6,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,17,No,4,0102,Paid,270000,Yes,Yes,18,,Reseller
274,7,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Duration of service too short,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,17,No,3,01,Paid,104000,Yes,Yes,3,,Reseller
274,9,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Breaks down too often,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,90000,Yes,Yes,6,No,Reseller
274,10,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,RADIO,Local private organizations (NGO),,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,50,No,1,01,For free,,,Yes,24,,Owner
274,11,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,RADIO,,,Quality of light,Recurrent cost related to solar device is too expensive,,Solar home system,Yes,International brands,Yes,2,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,22,No,3,01,Paid,208800,Yes,Yes,12,,Reseller
274,12,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Recurrent cost related to solar device is too expensive,Quality of light,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,50,No,1,01,Paid,90000,Yes,Yes,3,,Reseller
274,13,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Telephone,,,Recurrent cost related to solar device is too expensive,Quality of light,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,5,No,4,01,Paid,172000,Yes,Yes,24,,Reseller
274,14,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Duration of service too short,Recurrent cost related to solar device is too expensive,,Solar lighting system,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,93600,Yes,Yes,12,,Reseller
274,16,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Telephone,,,Duration of service too short,Recurrent cost related to solar device is too expensive,,Solar home system,Yes,International brands,Yes,2,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,3,02,Paid,104400,Yes,Yes,12,,Reseller
274,17,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Battery problems,Duration of service too short,,Solar home system,Yes,International brands,Yes,7,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,50,No,6,02,Paid,60000,Yes,Yes,12,Yes,Reseller
274,18,,,Eastern Province,Gatsibo,Rural,Refugee HH,second,Yes,Electric lamp,Local private organizations (NGO),,No problems,No other problem,,Solar lighting system,No,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,1,01,For free,,,No,3,,Reseller
274,18,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Cannot power large appliances,No other problem,,Solar home system,Yes,International brands,Yes,6,Yes,Yes,,,Yes,,Have appliances,,,,,,,Solar Home System,50,No,1,01,Paid,200000,No,No,20,,Owner
275,1,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,Quality of light,No other problem,,Solar lighting system,Yes,Component-based/Local,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,3,,Other technician
275,2,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Duration of service too short,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,7,No,1,01,Paid,62000,Yes,Yes,4,,Reseller
275,3,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Electric lamp,,,Cannot power large appliances,Duration of service too short,,Solar home system,Yes,International brands,Yes,1,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,2,01,Paid,93000,Yes,No,9,,Reseller
275,4,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,No one,Humanitarian agencies,,Duration of service too short,Cannot power large appliances,,Solar lantern,Yes,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,2,02,For free,,,No,4,,Relative/friend
275,7,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,6,No,1,01,For free,,,No,24,,Other technician
275,9,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar home system,Yes,International brands,Yes,4,Yes,Yes,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,4,0102,Paid,216000,Yes,Yes,12,,Reseller
275,10,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,Quality of light,Battery problems,,Solar lighting system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,No,3,01,For free,,,No,3,No,"Other, specify"
275,11,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Cannot power large appliances,Duration of service too short,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,7,No,2,0102,Paid,87000,Yes,Yes,4,,Reseller
275,12,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,7,No,2,01,Paid,62400,Yes,Yes,4,,Reseller
275,13,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,Yes,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,3,01,Paid,104400,Yes,Yes,24,,Reseller
275,15,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Electric lamp,,,Cannot power large appliances,No other problem,,Solar lantern,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,7,No,1,01,Paid,20800,Yes,Yes,12,,Reseller
275,17,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Quality of light,Battery problems,,Solar lighting system,Yes,Component-based/Local,Yes,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,17,No,3,03,Paid,2900,Yes,Yes,3,No,Reseller
276,1,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Duration of service too short,Breaks down too often,,Solar lighting system,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,5,No,1,01,Paid,12000,No,No,3,Yes,Relative/friend
276,3,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Duration of service too short,Cannot power large appliances,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,7,No,2,01,Paid,93600,Yes,Yes,3,,Reseller
276,4,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Telephone,,,Duration of service too short,Battery problems,,Solar lighting system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,7,No,2,02,Paid,93600,Yes,Yes,4,Yes,Reseller
276,6,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,7,No,2,01,Paid,93600,Yes,Yes,10,,Reseller
276,7,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,17,No,2,01,Paid,93600,Yes,Yes,12,,Reseller
276,8,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Cannot power large appliances,Duration of service too short,,Solar home system,Yes,International brands,Yes,5,Yes,Yes,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,2,0102,Paid,104400,Yes,Yes,6,,Reseller
276,9,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Duration of service too short,Cannot power large appliances,,Solar lighting system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,7,No,2,01,Paid,93600,Yes,Yes,3,,Reseller
276,10,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Quality of light,Duration of service too short,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,8,No,2,02,Paid,1333400,Yes,No,Don't know,,Reseller
276,11,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Recurrent cost related to solar device is too expensive,Breaks down too often,,Solar home system,Yes,International brands,Yes,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,8,No,2,01,Paid,115000,Yes,No,Don't know,No,Reseller
276,13,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Quality of light,Cannot power large appliances,,Solar home system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,2,01,Paid,119600,Yes,No,Don't know,,Reseller
276,15,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Duration of service too short,Quality of light,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,8,No,2,01,Paid,119600,Yes,No,Don't know,,Reseller
276,16,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Duration of service too short,Breaks down too often,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,8,No,2,02,Paid,133400,Yes,No,Don't know,No,Reseller
276,17,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Quality of light,No other problem,,Solar home system,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,3000,No,No,Don't know,,Relative/friend
276,18,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Quality of light,Recurrent cost related to solar device is too expensive,,Solar home system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,1,01,Paid,119600,Yes,No,Don't know,,Reseller
277,1,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Relative/Friend,,No problems,No other problem,,Solar home system,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,3,,Other technician
277,2,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,No,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,1,01,Paid,35000,No,No,3,,Reseller
277,3,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,No,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,3,01,For free,,,Yes,4,,Reseller
277,5,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,7,No,5,0102,For free,,,Yes,6,,Reseller
277,9,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,"Other, specify",No other problem,Low light,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,7,No,1,01,For free,,,Yes,4,,Reseller
277,10,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Cannot power large appliances,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,3,01,Paid,104400,Yes,Yes,12,,Reseller
277,11,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Electric lamp,Local private organizations (NGO),,Duration of service too short,Cannot power large appliances,,Solar home system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,02,For free,,,No,9,,Other technician
277,13,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Relative/Friend,,Duration of service too short,Cannot power large appliances,,Solar home system,Yes,International brands,Yes,1,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,1,02,For free,,,No,10,,Relative/friend
277,14,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Cannot power large appliances,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,1,02,Paid,10300,Yes,Yes,12,,Reseller
277,15,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Electric lamp,,,Recurrent cost related to solar device is too expensive,Duration of service too short,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,5,No,1,03,Paid,93000,Yes,No,12,,Reseller
277,17,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Duration of service too short,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,3,01,Paid,22000,Yes,No,1,,Reseller
278,2,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,"Other, specify",No other problem,Just for lighting,Solar lantern,Yes,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,7,01,Paid,15000,No,No,24,,"Other, specify"
278,3,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,12,No,2,02,Paid,115200,Yes,Yes,12,,Reseller
278,9,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,1,01,Paid,93000,Yes,Yes,6,,Reseller
278,10,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Not possible to connect on it,,,Duration of service too short,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,3,0102,Paid,104000,Yes,Yes,3,,Reseller
278,15,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Telephone,,,Battery problems,Breaks down too often,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,5,No,3,01,Paid,104400,Yes,Yes,24,No,Reseller
279,1,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Cannot power large appliances,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,2,01,Paid,93000,Yes,No,12,,Reseller
279,2,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,Electric lamp,,,Duration of service too short,Cannot power large appliances,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,5,No,4,02,Paid,10600,Yes,Yes,12,,Reseller
279,3,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Duration of service too short,Quality of light,,Solar lighting system,Yes,International brands,No,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,50,No,1,02,Paid,11000,No,Yes,2,,Reseller
279,4,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,Yes,RADIO,,,Duration of service too short,Quality of light,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,5,No,1,02,Paid,93600,Yes,Yes,3,,Reseller
279,6,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Cannot power large appliances,No other problem,,Solar home system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,3,01,Paid,22000,Yes,Yes,3,,Reseller
279,8,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Relative/Friend,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,8,No,2,01,For free,,,No,Don't know,,Reseller
279,10,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,Humanitarian agencies,,Quality of light,Duration of service too short,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,60,No,1,01,For free,,,No,10,,Other technician
279,16,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Quality of light,Breaks down too often,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,No,3,05,Paid,2900,Yes,Yes,3,No,Reseller
279,17,,,Eastern Province,Gatsibo,Rural,Refugee HH,First,,,,,Duration of service too short,Breaks down too often,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,9000,No,Yes,4,No,Relative/friend
280,4,628.5525000000001,566.6496050412402,Eastern Province,Kayonza,Rural,Ordinary HH,First,Yes,Electric lamp,,,No problems,No other problem,,Solar home system,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,28000,No,No,4,,Owner
280,7,628.5525000000001,566.6496050412402,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,Local government,,Breaks down too often,Quality of light,,Solar lighting system,Yes,Component-based/Local,Yes,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,4,01,For free,,,No,12,No,"Other, specify"
280,9,628.5525000000001,566.6496050412402,Eastern Province,Kayonza,Rural,Ordinary HH,First,Yes,No one,Local private organizations (NGO),,Cannot power large appliances,No other problem,,Solar home system,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,6,01,For free,,,No,3,,Other technician
280,20,628.5525000000001,566.6496050412402,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,No,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,4,01,Paid,55000,No,No,12,,Reseller
282,11,155.5122,159.9850262713035,Eastern Province,Kayonza,Urban,Ordinary HH,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,4,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,Yes,5,01,Paid,130000,Yes,Yes,4,,Reseller
283,2,26.49132802547771,27.36923190022331,Eastern Province,Kayonza,Urban,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,8000,No,No,12,,"Other, specify"
283,3,26.49132802547771,27.36923190022331,Eastern Province,Kayonza,Urban,Ordinary HH,First,,,Humanitarian agencies,,Quality of light,Battery problems,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,2,01,For free,,,No,3,No,Owner
284,2,504.9064453125001,483.9123901710757,Eastern Province,Kayonza,Rural,Ordinary HH,First,Yes,Electric lamp,,,Quality of light,No other problem,,Solar lighting system,Yes,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lighting product,20,No,1,02,Paid,1000,No,No,2,,Reseller
285,12,974.5554,873.5784494783611,Eastern Province,Kayonza,Rural,Ordinary HH,First,Yes,No one,,,Recurrent cost related to solar device is too expensive,Battery problems,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,12,No,2,01,Paid,75000,Yes,No,2,No,Reseller
286,2,1101.067,1151.904182989738,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,Local government,,Duration of service too short,Cannot power large appliances,,Solar home system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,6,01,For free,,,No,3,,Owner
286,6,1101.067,1151.904182989738,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,,,Breaks down too often,Cannot power large appliances,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,2,01,Paid,75000,Yes,No,15,No,Other technician
286,8,1101.067,1151.904182989738,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,5,01,Paid,130000,Yes,No,12,,Other technician
286,10,1101.067,1151.904182989738,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,No,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,2,01,Paid,15000,No,Yes,12,,Other technician
286,11,1101.067,1151.904182989738,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,,,Cannot power large appliances,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,2,01,Paid,91000,Yes,No,3,,Reseller
286,12,1101.067,1151.904182989738,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,Yes,,,,,Have appliances,,,,,,,Solar Home System,50,Yes,3,01,Paid,9000,Yes,Yes,12,,Reseller
286,13,1101.067,1151.904182989738,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,,,Duration of service too short,Recurrent cost related to solar device is too expensive,,Solar lighting system,Yes,International brands,Yes,4,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,2,01,Paid,240000,Yes,Yes,14,,Reseller
286,14,1101.067,1151.904182989738,Eastern Province,Kayonza,Rural,Ordinary HH,First,,,,,Breaks down too often,Battery problems,,Solar home system,Yes,International brands,Yes,1,No,Yes,,,,,Have appliances,,,,,,,Solar Home System,50,No,2,01,Paid,48000,Yes,Yes,3,No,Reseller
