Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,C128,C135_6,C135_Other,C144,C144_OTHER,C149A,C149B,C149_OTHER,C129,C130,C131,C132,C133,C134,C135_1,C135_2,C135_3,C135_4,C135_5,C136,C137_1,C137_2,C137_3,C137_4,C137_5,C137_6,C138,C139,C140,C141,C142,C143,C145,C146,C147,C148,C150,C151
61,8,32.60649948717949,34.66676510422474,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,25000,No,Yes,6,,"Other, specify"
61,14,32.60649948717949,34.66676510422474,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Duration of service too short,Breaks down too often,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,5,01,Paid,30000,No,Yes,4,No,Owner
62,4,40.30629866666667,42.51751868209943,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,No place to connect on it,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,2,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,8,Yes,1,01,Paid,16000,No,No,4,,Owner
62,5,40.30629866666667,42.51751868209943,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,No place to connect on it,,,Quality of light,No other problem,,Solar lighting system,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,8,Yes,1,0102,Paid,25000,No,Yes,4,,Owner
63,6,71.29825839743592,65.15481707379413,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,Local private organizations (NGO),,No problems,No other problem,,Solar lantern,Yes,Component-based/Local,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,3,,Reseller
63,7,71.29825839743592,65.15481707379413,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,Yes,1,01,Paid,16200,Yes,Yes,12,,Relative/friend
63,8,71.29825839743592,65.15481707379413,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,No,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,1,02,Paid,45000,No,No,4,,Relative/friend
63,9,71.29825839743592,65.15481707379413,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,Relative/Friend,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,02,For free,,,No,4,,Relative/friend
63,13,71.29825839743592,65.15481707379413,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Duration of service too short,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,2,0102,Paid,15000,No,No,12,,Reseller
63,16,71.29825839743592,65.15481707379413,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,Yes,1,01,Paid,5000,Yes,Yes,12,,Relative/friend
66,9,36.89001727272727,32.53802180155043,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,02,Paid,30000,Yes,No,3,,"Other, specify"
66,13,36.89001727272727,32.53802180155043,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,No one,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,5,02,Paid,28000,Yes,No,3,,Owner
67,4,105.2169285106383,107.779062775186,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,Yes,Electric lamp,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,Yes,,,,,,Have appliances,,,,,,,Solar Lantern,,,2,01,Paid,5000,Yes,No,12,,Other technician
67,5,105.2169285106383,107.779062775186,Southern Province,Gisagara,Rural,HH Surrounding Camp,second,,,,,Duration of service too short,No other problem,,Solar home system,Yes,International brands,Yes,2,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,01,Paid,12000,No,No,4,,Owner
67,5,105.2169285106383,107.779062775186,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,,,Cannot power large appliances,Duration of service too short,,Solar home system,No,International brands,No,2,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,5000,Yes,No,1,,Owner
67,8,105.2169285106383,107.779062775186,Southern Province,Gisagara,Rural,HH Surrounding Camp,First,,,Local government,,Duration of service too short,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,No,1,02,For free,,,No,3,,Relative/friend
